animeID,name,title_english,type,source,producers,genre,studio,episodes,status,airing,start_date,end_date,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,broadcast
21,One Piece,One Piece,TV,Manga,Fuji TV,Action,Toei Animation,,Currently Airing,True,1999-10-20,,24 min,PG-13 - Teens 13 or older,8.53,465454,94,36,803871,76869,Fall 1999,Sundays at 09:30 (JST)
22,Tennis no Ouji-sama,The Prince of Tennis,TV,Manga,Production I.G,Action,Trans Arts,178.0,Finished Airing,False,2001-10-10,2005-03-02,22 min per ep,PG-13 - Teens 13 or older,8.0,50306,577,856,113662,2885,Fall 2001,Unknown
23,Ring ni Kakero 1,,TV,Manga,,Action,Toei Animation,12.0,Finished Airing,False,2004-10-06,2004-12-01,25 min per ep,PG - Children,6.54,825,5641,6501,2930,18,Fall 2004,Unknown
25,Sunabouzu,Desert Punk,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,False,2004-10-06,2005-03-03,24 min per ep,R - 17+ (violence & profanity),7.5,36185,1679,1049,89817,673,Fall 2004,Unknown
26,Texhnolyze,Texhnolyze,TV,Original,Group TAC,Action,Madhouse,22.0,Finished Airing,False,2003-04-17,2003-09-02,23 min per ep,R+ - Mild Nudity,7.78,32198,942,690,138500,2864,Spring 2003,Thursdays at 03:28 (JST)
27,Trinity Blood,Trinity Blood,TV,Light novel,,Action,Gonzo,24.0,Finished Airing,False,2005-04-29,2005-10-02,24 min per ep,R - 17+ (violence & profanity),7.4,61471,2081,695,137800,1403,Spring 2005,Unknown
28,Yakitate!! Japan,Yakitate!! Japan,TV,Manga,TV Tokyo,Comedy,Sunrise,69.0,Finished Airing,False,2004-10-12,2006-03-01,24 min per ep,PG-13 - Teens 13 or older,8.01,27616,566,1388,65862,785,Fall 2004,Unknown
29,Zipang,,TV,Manga,Marvelous,Action,Studio Deen,26.0,Finished Airing,False,2004-10-08,,24 min per ep,PG-13 - Teens 13 or older,7.54,4534,1564,3575,12951,125,Fall 2004,Unknown
30,Neon Genesis Evangelion,Neon Genesis Evangelion,TV,Original,TV Tokyo,Action,Gainax,26.0,Finished Airing,False,1995-10-04,1996-03-02,24 min per ep,PG-13 - Teens 13 or older,8.33,402215,215,50,715531,45828,Fall 1995,Wednesdays at 18:30 (JST)
31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,Movie,Original,Movic,Drama,Gainax,1.0,Finished Airing,False,1997-03-15,,1 hr 41 min,R - 17+ (violence & profanity),7.5,74480,1672,734,130163,413,,
32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,Movie,Original,TV Tokyo,Sci-Fi,Gainax,1.0,Finished Airing,False,1997-07-19,,1 hr 27 min,R+ - Mild Nudity,8.5,215979,107,212,333046,9558,,
33,Kenpuu Denki Berserk,Berserk,TV,Manga,VAP,Action,OLM,25.0,Finished Airing,False,1997-10-08,,25 min per ep,R+ - Mild Nudity,8.47,166504,124,222,325769,13782,Fall 1997,Wednesdays at 01:45 (JST)
43,Ghost in the Shell,Ghost in the Shell,Movie,Manga,Bandai Visual,Action,Production I.G,1.0,Finished Airing,False,1995-11-18,,1 hr 22 min,R+ - Mild Nudity,8.34,199591,209,177,364643,8400,,
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Samurai X: Trust and Betrayal,OVA,Manga,Aniplex,Action,Studio Deen,4.0,Finished Airing,False,1999-02-20,1999-09-02,30 min per ep,R - 17+ (violence & profanity),8.78,94681,31,504,180923,4986,,
45,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin,TV,Manga,Aniplex,Action,Studio Gallop,94.0,Finished Airing,False,1996-01-10,,25 min per ep,PG-13 - Teens 13 or older,8.39,143693,182,265,296561,9044,Winter 1996,Wednesdays at 19:30 (JST)
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Samurai X: The Motion Picture,Movie,Manga,Fuji TV,Samurai,Studio Gallop,1.0,Finished Airing,False,1997-12-20,,1 hr 31 min,R - 17+ (violence & profanity),7.62,21576,1325,1984,38686,97,,
47,Akira,AKIRA,Movie,Manga,Mainichi Broadcasting System,Action,Tokyo Movie Shinsha,1.0,Finished Airing,False,1988-07-16,,2 hr 4 min,R+ - Mild Nudity,8.17,214961,356,193,351163,5845,,
48,.hack//Sign,.hack//Sign,TV,Original,Bandai Visual,Game,Bee Train,26.0,Finished Airing,False,2002-04-04,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.08,63557,3341,704,135481,1229,Spring 2002,Thursdays at Unknown
50,Aa! Megami-sama! (TV),Ah! My Goddess,TV,Manga,Bandai Visual,Comedy,AIC,24.0,Finished Airing,False,2005-01-07,,24 min per ep,PG-13 - Teens 13 or older,7.42,59169,1949,824,117198,1035,Winter 2005,Unknown
51,Tenshi Kinryouku,Angel Sanctuary,OVA,Manga,Bandai Visual,Action,Hal Film Maker,3.0,Finished Airing,False,2000-05-25,2000-08-02,30 min per ep,R+ - Mild Nudity,6.4,23620,6216,1933,40458,202,,
53,Ai Yori Aoshi,Ai Yori Aoshi,TV,Manga,Movic,Harem,J.C.Staff,24.0,Finished Airing,False,2002-04-11,2002-09-02,23 min per ep,PG-13 - Teens 13 or older,7.2,40592,2844,1139,81572,415,Spring 2002,Unknown
54,Appleseed (Movie),,Movie,Manga,Mainichi Broadcasting System,Action,Digital Frontier,1.0,Finished Airing,False,2004-04-17,,1 hr 45 min,R - 17+ (violence & profanity),7.18,34723,2935,1517,57811,158,,
55,Arc the Lad,,TV,Game,Sony Pictures Entertainment,Action,Bee Train,26.0,Finished Airing,False,1999-04-05,1999-09-01,22 min per ep,R - 17+ (violence & profanity),6.59,4474,5373,3623,12444,16,Spring 1999,Mondays at 19:00 (JST)
56,Avenger,,TV,Original,Production I.G,Adventure,Bee Train,13.0,Finished Airing,False,2003-10-02,2003-12-02,24 min per ep,R - 17+ (violence & profanity),5.96,5451,7805,3427,14237,19,Fall 2003,Unknown
57,Beck,Beck: Mongolian Chop Squad,TV,Manga,Marvelous,Comedy,Madhouse,26.0,Finished Airing,False,2004-10-07,2005-03-03,25 min per ep,R - 17+ (violence & profanity),8.36,91614,197,448,198237,6022,Fall 2004,Thursdays at 01:30 (JST)
58,Blue Gender,Blue Gender,TV,Original,Youmex,Adventure,AIC,26.0,Finished Airing,False,1999-10-08,2000-03-03,23 min per ep,R+ - Mild Nudity,7.11,21542,3232,1586,54058,360,Fall 1999,Thursdays at 01:55 (JST)
59,Chobits,Chobits,TV,Manga,TBS,Sci-Fi,Madhouse,26.0,Finished Airing,False,2002-04-03,2002-09-02,24 min per ep,PG-13 - Teens 13 or older,7.51,182381,1629,211,334276,3418,Spring 2002,Wednesdays at 02:20 (JST)
60,Chrno Crusade,Chrono Crusade,TV,Manga,Lantis,Action,Gonzo,24.0,Finished Airing,False,2003-11-25,2004-06-01,23 min per ep,R - 17+ (violence & profanity),7.75,81366,985,530,172946,1946,Fall 2003,Tuesdays at 02:28 (JST)
61,D.N.Angel,D.N.Angel,TV,Manga,Kadokawa Shoten,Action,Xebec,26.0,Finished Airing,False,2003-04-03,2003-09-02,23 min per ep,PG-13 - Teens 13 or older,7.3,78088,2456,637,148256,1448,Spring 2003,Unknown
62,D.C.: Da Capo,D.C.~Da Capo~,TV,Visual novel,Lantis,Harem,feel.,26.0,Finished Airing,False,2003-07-05,2003-12-02,24 min per ep,PG-13 - Teens 13 or older,6.86,24731,4164,1485,59502,183,Summer 2003,Saturdays at Unknown
63,DearS,DearS,TV,Manga,Bandai Visual,Sci-Fi,Daume,12.0,Finished Airing,False,2004-07-11,2004-09-02,23 min per ep,R+ - Mild Nudity,6.73,61303,4750,882,110662,362,Summer 2004,Sundays at Unknown
64,Rozen Maiden,Rozen Maiden,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,False,2004-10-08,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,7.52,76580,1617,610,154546,1929,Fall 2004,Fridays at 01:55 (JST)
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,TV,Manga,Mellow Head,Action,Nomad,12.0,Finished Airing,False,2005-10-21,2006-01-02,24 min per ep,PG-13 - Teens 13 or older,7.73,48438,1053,1104,84149,481,Fall 2005,Fridays at 01:55 (JST)
67,Basilisk: Kouga Ninpou Chou,Basilisk,TV,Manga,GDH,Action,Gonzo,24.0,Finished Airing,False,2005-04-13,2005-09-02,24 min per ep,R - 17+ (violence & profanity),7.64,57199,1249,722,132611,1345,Spring 2005,Unknown
69,Cluster Edge,,TV,Original,Bandai Visual,Action,Sunrise,25.0,Finished Airing,False,2005-10-05,2006-03-02,24 min per ep,PG-13 - Teens 13 or older,6.44,2241,6013,4332,8136,13,Fall 2005,Wednesdays at 01:00 (JST)
71,Full Metal Panic!,Full Metal Panic!,TV,Light novel,Kadokawa Shoten,Action,Gonzo,24.0,Finished Airing,False,2002-01-08,2002-06-01,24 min per ep,R - 17+ (violence & profanity),7.74,177049,1013,203,340901,4032,Winter 2002,Tuesdays at 18:30 (JST)
72,Full Metal Panic? Fumoffu,Full Metal Panic? Fumoffu,TV,Light novel,Tatsunoko Production,Action,Kyoto Animation,12.0,Finished Airing,False,2003-08-26,2003-10-01,24 min per ep,PG-13 - Teens 13 or older,8.14,133639,385,399,215819,2743,Summer 2003,Unknown
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,TV,Light novel,Kadokawa Shoten,Action,Kyoto Animation,13.0,Finished Airing,False,2005-07-14,2005-10-02,24 min per ep,R - 17+ (violence & profanity),8.02,115427,536,456,195923,1287,Summer 2005,Unknown
75,Soukyuu no Fafner: Dead Aggressor,Fafner of the Blue Sky,TV,Original,TV Tokyo Music,Action,Xebec,25.0,Finished Airing,False,2004-07-05,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,7.35,10912,2286,2124,34454,232,Summer 2004,Unknown
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,TV,Original,Starchild Records,Action,Seven Arcs,13.0,Finished Airing,False,2004-10-03,2004-12-02,25 min per ep,PG-13 - Teens 13 or older,7.48,32683,1741,1209,77124,967,Fall 2004,Unknown
77,Mahou Shoujo Lyrical Nanoha A's,Magical Girl Lyrical Nanoha A's,TV,Original,Starchild Records,Action,Seven Arcs,13.0,Finished Airing,False,2005-10-02,2005-12-02,25 min per ep,PG-13 - Teens 13 or older,8.05,26706,499,1672,49952,952,Fall 2005,Unknown
79,Shuffle!,Shuffle!,TV,Visual novel,Lantis,Comedy,Xebec,24.0,Finished Airing,False,2005-07-08,,23 min per ep,R+ - Mild Nudity,7.21,101261,2835,433,202630,1503,Summer 2005,Unknown
80,Mobile Suit Gundam,Mobile Suit Gundam,TV,Original,Sotsu,Action,Sunrise,43.0,Finished Airing,False,1979-04-07,1980-01-02,25 min per ep,PG-13 - Teens 13 or older,7.85,31375,804,1270,72598,1438,Spring 1979,Saturdays at 17:30 (JST)
81,Mobile Suit Gundam: The 08th MS Team,Mobile Suit Gundam: The 08th MS Team,OVA,Original,Atelier Musa,Military,Sunrise,12.0,Finished Airing,False,1996-01-25,1999-07-02,24 min per ep,PG-13 - Teens 13 or older,8.09,26728,458,1715,48063,752,,
82,Mobile Suit Gundam 0080: War in the Pocket,Mobile Suit Gundam 0080: War in the Pocket,OVA,Original,Bandai Visual,Military,Sunrise,6.0,Finished Airing,False,1989-03-25,1989-08-02,27 min per ep,PG-13 - Teens 13 or older,7.88,17659,742,2208,32457,507,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,,Movie,Original,Sotsu,Military,Sunrise,1.0,Finished Airing,False,1998-08-01,,52 min,PG-13 - Teens 13 or older,6.9,5015,4029,3999,9829,3,,
84,Mobile Suit Gundam 0083: Stardust Memory,Mobile Suit Gundam 0083: Stardust Memory,OVA,Original,Bandai Visual,Military,Sunrise,13.0,Finished Airing,False,1991-05-23,1992-09-02,30 min per ep,PG-13 - Teens 13 or older,7.4,15167,2064,2448,26920,192,,
85,Mobile Suit Zeta Gundam,Mobile Suit Zeta Gundam,TV,Original,Sotsu,Military,Sunrise,50.0,Finished Airing,False,1985-03-02,1986-02-02,24 min per ep,PG-13 - Teens 13 or older,7.99,20063,586,1923,40759,1292,Spring 1985,Unknown
86,Mobile Suit Gundam ZZ,Mobile Suit Gundam ZZ,TV,Original,Sotsu,Space,Sunrise,47.0,Finished Airing,False,1986-03-01,1987-01-03,24 min per ep,PG-13 - Teens 13 or older,6.73,11017,4768,2642,23757,80,Spring 1986,Saturdays at 17:30 (JST)
87,Mobile Suit Gundam: Char's Counterattack,Mobile Suit Gundam: Char's Counterattack,Movie,Novel,Sotsu,Military,Sunrise,1.0,Finished Airing,False,1988-03-12,,1 hr 59 min,PG-13 - Teens 13 or older,7.74,15090,1019,2491,26241,205,,
88,Mobile Suit Gundam F91,Mobile Suit Gundam F91,Movie,Unknown,Sotsu,Drama,Sunrise,1.0,Finished Airing,False,1991-03-16,,2 hr,PG-13 - Teens 13 or older,6.78,9833,4521,3050,18010,40,,
89,Mobile Suit Victory Gundam,Mobile Suit V Gundam,TV,Original,TV Asahi,Military,Sunrise,51.0,Finished Airing,False,1993-04-02,1994-03-02,24 min per ep,PG-13 - Teens 13 or older,6.85,6156,4214,3167,16608,82,Spring 1993,Fridays at 17:00 (JST)
90,Mobile Suit Gundam Wing,Mobile Suit Gundam Wing,TV,Original,TV Asahi,Action,Sunrise,49.0,Finished Airing,False,1995-04-07,1996-03-02,24 min per ep,PG-13 - Teens 13 or older,7.82,62406,867,909,108562,2278,Spring 1995,Fridays at 17:00 (JST)
91,Mobile Suit Gundam Wing: Endless Waltz,Mobile Suit Gundam Wing: Endless Waltz,OVA,Original,Bandai Visual,Action,Sunrise,3.0,Finished Airing,False,1997-01-25,1997-07-02,30 min per ep,PG-13 - Teens 13 or older,7.85,20559,805,2118,34585,194,,
92,After War Gundam X,After War Gundam X,TV,Original,TV Asahi,Sci-Fi,Sunrise,39.0,Finished Airing,False,1996-04-05,1996-12-02,24 min per ep,PG-13 - Teens 13 or older,7.36,10345,2219,2637,23787,164,Spring 1996,Fridays at 17:00 (JST)
94,Mobile Suit Gundam SEED Destiny,,TV,Original,Sotsu,Action,Sunrise,50.0,Finished Airing,False,2004-10-09,,24 min per ep,R - 17+ (violence & profanity),7.3,47750,2479,1191,78312,1133,Fall 2004,Unknown
95,Turn A Gundam,∀ Gundam,TV,Original,Sotsu,Action,Sunrise,50.0,Finished Airing,False,1999-04-09,2000-04-01,24 min per ep,PG-13 - Teens 13 or older,7.73,9204,1058,2420,27476,547,Spring 1999,Fridays at 17:00 (JST)
96,Mobile Fighter G Gundam,Mobile Fighter G Gundam,TV,Original,TV Asahi,Sci-Fi,Sunrise,49.0,Finished Airing,False,1994-04-01,1995-03-03,24 min per ep,PG-13 - Teens 13 or older,7.6,25027,1367,1778,45765,757,Spring 1994,Fridays at 17:00 (JST)
97,Last Exile,Last Exile,TV,Original,GDH,Action,Gonzo,26.0,Finished Airing,False,2003-04-08,2003-09-03,24 min per ep,PG-13 - Teens 13 or older,7.89,55389,722,743,129036,1709,Spring 2003,Tuesdays at 01:30 (JST)
98,Mai-HiME,My-Hime,TV,Original,Bandai Visual,Action,Sunrise,26.0,Finished Airing,False,2004-09-30,2005-03-03,23 min per ep,PG-13 - Teens 13 or older,7.53,42321,1580,1050,89769,1216,Fall 2004,Fridays at 01:30 (JST)
99,Mai-Otome,My-Otome,TV,Original,Bandai Visual,Comedy,Sunrise,26.0,Finished Airing,False,2005-10-07,2006-03-03,24 min per ep,PG-13 - Teens 13 or older,7.36,21354,2242,1904,41658,322,Fall 2005,Fridays at 01:30 (JST)
101,Air,Air,TV,Visual novel,Pony Canyon,Slice of Life,Kyoto Animation,12.0,Finished Airing,False,2005-01-07,2005-03-02,24 min per ep,PG-13 - Teens 13 or older,7.41,120702,1994,381,224570,2584,Winter 2005,Fridays at 00:30 (JST)
102,Aishiteruze Baby★★,,TV,Manga,Animax,Comedy,TMS Entertainment,26.0,Finished Airing,False,2004-04-03,,25 min per ep,PG-13 - Teens 13 or older,7.54,40784,1541,1202,77444,518,Spring 2004,Sundays at 19:00 (JST)
103,Akazukin Chacha,Red Riding Hood Chacha,TV,Manga,Nihon Ad Systems,Adventure,Studio Gallop,74.0,Finished Airing,False,1994-01-07,1995-06-03,24 min per ep,G - All Ages,7.46,3269,1797,4019,9766,75,Winter 1994,Fridays at 18:00 (JST)
104,Ayashi no Ceres,"Ceres, Celestial Legend",TV,Manga,Bandai Visual,Adventure,Studio Pierrot,24.0,Finished Airing,False,2000-04-20,2000-09-02,21 min per ep,R - 17+ (violence & profanity),7.33,21170,2335,1775,45839,501,Spring 2000,Thursdays at 18:30 (JST)
105,Boys Be...,Boys Be...,TV,Manga,Audio Tanaka,Slice of Life,Hal Film Maker,13.0,Finished Airing,False,2000-04-11,,23 min per ep,PG-13 - Teens 13 or older,6.52,7160,5690,3087,17520,41,Spring 2000,Tuesdays at 18:30 (JST)
106,Hana yori Dango,Hana Yori Dango,TV,Manga,,Drama,Toei Animation,51.0,Finished Airing,False,1996-09-08,1997-08-03,25 min per ep,PG-13 - Teens 13 or older,7.84,15258,819,2031,37364,646,Fall 1996,Unknown
107,Ou Dorobou Jing,Jing: King of Bandits,TV,Manga,Aniplex,Adventure,Studio Deen,13.0,Finished Airing,False,2002-05-15,2002-08-01,24 min per ep,PG-13 - Teens 13 or older,7.31,11279,2441,2375,28628,196,Spring 2002,Unknown
108,Ou Dorobou Jing in Seventh Heaven,Jing: King of Bandits - Seventh Heaven,OVA,Unknown,Aniplex,Adventure,Studio Deen,3.0,Finished Airing,False,2004-01-21,2004-04-02,30 min per ep,PG-13 - Teens 13 or older,7.37,4665,2201,3930,10261,25,,
109,Bakuretsu Tenshi,Burst Angel,TV,Original,GDH,Adventure,Gonzo,24.0,Finished Airing,False,2004-04-07,2004-09-01,23 min per ep,PG-13 - Teens 13 or older,6.89,24602,4047,1542,55927,251,Spring 2004,Tuesdays at 02:12 (JST)
110,Chuuka Ichiban!,,TV,Manga,,Action,Nippon Animation,52.0,Finished Airing,False,1997-04-27,1998-09-01,23 min per ep,PG-13 - Teens 13 or older,7.7,4991,1106,3763,11287,90,Spring 1997,Sundays at 19:30 (JST)
112,Chou Henshin Cosprayers,The Cosmopolitan Prayers,TV,Original,m.o.e.,Action,Imagin,8.0,Finished Airing,False,2004-01-12,,14 min per ep,PG-13 - Teens 13 or older,5.03,2339,9690,4749,6475,5,Winter 2004,Unknown
113,Uchuu no Stellvia,Stellvia,TV,Original,Starchild Records,Action,Xebec,26.0,Finished Airing,False,2003-04-03,2003-09-02,23 min per ep,PG-13 - Teens 13 or older,7.44,7477,1895,3017,18413,114,Spring 2003,Thursdays at 01:00 (JST)
114,Sakigake!! Cromartie Koukou,Cromartie High School,TV,Manga,TV Tokyo Music,Comedy,Production I.G,26.0,Finished Airing,False,2003-10-03,2004-03-02,12 min per ep,PG-13 - Teens 13 or older,7.99,36280,587,1039,91122,1372,Fall 2003,Fridays at Unknown
115,El Hazard: The Alternative World,,TV,Original,Pioneer LDC,Adventure,AIC,13.0,Finished Airing,False,1998-01-08,1998-03-02,25 min per ep,PG-13 - Teens 13 or older,6.9,3851,4011,4253,8442,9,Winter 1998,Thursdays at 01:15 (JST)
116,El Hazard: The Wanderers,El-Hazard: The Wanderers,TV,Original,TV Tokyo,Adventure,AIC,26.0,Finished Airing,False,1995-10-06,1996-03-02,23 min per ep,PG-13 - Teens 13 or older,7.04,5131,3509,3674,11996,33,Fall 1995,Fridays at 18:30 (JST)
117,El Hazard: The Magnificent World,,OVA,Original,Pioneer LDC,Adventure,AIC,7.0,Finished Airing,False,1995-05-26,1996-01-02,34 min per ep,PG-13 - Teens 13 or older,7.39,5695,2090,3589,12749,82,,
118,El Hazard 2: The Magnificent World,,OVA,Original,Pioneer LDC,Adventure,AIC,4.0,Finished Airing,False,1997-03-21,1997-10-02,30 min per ep,PG-13 - Teens 13 or older,6.94,3348,3863,4655,6770,5,,
119,Final Approach,,TV,Visual novel,Trinet Entertainment,Comedy,Zexcs,13.0,Finished Airing,False,2004-10-03,2004-12-02,14 min per ep,PG-13 - Teens 13 or older,6.63,14922,5212,2362,28858,45,Fall 2004,Unknown
120,Fruits Basket,Fruits Basket,TV,Manga,TV Tokyo,Slice of Life,Studio Deen,26.0,Finished Airing,False,2001-07-05,2001-12-02,24 min per ep,PG-13 - Teens 13 or older,7.77,175617,951,244,310675,7892,Summer 2001,Thursdays at 18:00 (JST)
121,Fullmetal Alchemist,Fullmetal Alchemist,TV,Manga,Aniplex,Action,Bones,51.0,Finished Airing,False,2003-10-04,,24 min per ep,PG-13 - Teens 13 or older,8.28,524986,268,27,854022,22764,Fall 2003,Saturdays at 18:00 (JST)
122,Full Moon wo Sagashite,Searching for the Full Moon,TV,Manga,Nihon Ad Systems,Music,Studio Deen,52.0,Finished Airing,False,2002-04-06,2003-03-02,24 min per ep,PG-13 - Teens 13 or older,8.04,32470,508,1241,74904,1628,Spring 2002,Saturdays at 07:30 (JST)
123,Fushigi Yuugi,Mysterious Play,TV,Manga,TV Tokyo,Adventure,Studio Pierrot,52.0,Finished Airing,False,1995-04-06,1996-03-02,23 min per ep,PG-13 - Teens 13 or older,7.75,35246,989,1197,77831,2027,Spring 1995,Thursdays at 18:00 (JST)
124,Fushigi Yuugi: Eikouden,Mysterious Play: Eikoden,OVA,Manga,,Adventure,Studio Pierrot,4.0,Finished Airing,False,2001-12-21,2002-06-02,30 min per ep,PG-13 - Teens 13 or older,6.96,7196,3799,3495,13562,65,,
125,Futakoi,Twin Love,TV,Original,Lantis,Comedy,Telecom Animation Film,13.0,Finished Airing,False,2004-10-06,2004-12-02,24 min per ep,PG-13 - Teens 13 or older,6.57,13132,5480,2389,28139,19,Fall 2004,Unknown
126,Futakoi Alternative,,TV,Original,Lantis,Comedy,ufotable,13.0,Finished Airing,False,2005-04-07,2005-06-03,24 min per ep,PG-13 - Teens 13 or older,6.98,9636,3729,2520,25668,64,Spring 2005,Unknown
127,Gate Keepers,,TV,Game,Media Factory,Action,Gonzo,24.0,Finished Airing,False,2000-04-03,2000-09-01,25 min per ep,PG-13 - Teens 13 or older,7.04,7175,3511,3125,17132,55,Spring 2000,Unknown
128,Gate Keepers 21,,OVA,Game,,Action,Gonzo,6.0,Finished Airing,False,2002-04-24,,30 min per ep,PG-13 - Teens 13 or older,6.85,3789,4202,4245,8467,21,,
129,Gensoumaden Saiyuuki,Saiyuki,TV,Manga,TV Tokyo,Adventure,Studio Pierrot,50.0,Finished Airing,False,2000-04-04,2001-03-02,23 min per ep,R - 17+ (violence & profanity),7.67,15344,1183,1943,40022,772,Spring 2000,Tuesdays at 18:30 (JST)
130,Saiyuuki Reload,Saiyuki Reload,TV,Manga,,Action,Studio Pierrot,25.0,Finished Airing,False,2003-10-02,2004-03-02,23 min per ep,PG-13 - Teens 13 or older,7.5,9345,1677,2648,23696,102,Fall 2003,Unknown
131,Saiyuuki Reload Gunlock,Saiyuki Gunlock,TV,Manga,,Action,Studio Pierrot,26.0,Finished Airing,False,2004-04-02,2004-09-02,24 min per ep,PG-13 - Teens 13 or older,7.51,6086,1645,3187,16424,45,Spring 2004,Unknown
132,GetBackers,Getbackers,TV,Manga,TBS,Action,Studio Deen,49.0,Finished Airing,False,2002-10-05,2003-09-02,24 min per ep,PG-13 - Teens 13 or older,7.68,38643,1152,1043,90279,847,Fall 2002,Saturdays at 17:30 (JST)
133,Green Green,Green Green,TV,Visual novel,Pony Canyon,Comedy,Studio Matrix,12.0,Finished Airing,False,2003-07-12,2003-09-02,24 min per ep,R+ - Mild Nudity,6.34,55059,6465,1001,95049,250,Summer 2003,Unknown
134,Gunslinger Girl,Gunslinger Girl,TV,Manga,Marvelous,Action,Madhouse,13.0,Finished Airing,False,2003-10-09,2004-02-01,24 min per ep,R - 17+ (violence & profanity),7.5,57472,1662,702,135682,1040,Fall 2003,Unknown
135,Hikaru no Go,Hikaru no Go,TV,Manga,TV Tokyo,Comedy,Studio Pierrot,75.0,Finished Airing,False,2001-10-10,2003-03-02,23 min per ep,PG-13 - Teens 13 or older,8.16,41770,365,1054,89377,1883,Fall 2001,Unknown
136,Hunter x Hunter,Hunter x Hunter,TV,Manga,Fuji TV,Action,Nippon Animation,62.0,Finished Airing,False,1999-10-16,2001-03-03,23 min per ep,PG-13 - Teens 13 or older,8.47,126542,123,316,256505,6423,Fall 1999,Saturdays at 18:00 (JST)
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,,OVA,Manga,,Action,Nippon Animation,8.0,Finished Airing,False,2002-01-17,2002-04-01,24 min per ep,PG-13 - Teens 13 or older,8.38,42591,185,1255,74017,301,,
138,Hunter x Hunter: Greed Island,,OVA,Manga,,Action,Nippon Animation,8.0,Finished Airing,False,2003-02-05,2003-04-01,22 min per ep,PG-13 - Teens 13 or older,8.3,47733,250,1156,80473,232,,
